	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Mexico	0.27943770	0.10756007	0.78544703	0.40232346	0.11243080	0.10022599	0.20635603	0.12865329	0.13941548	0.52606130	0.28775506	0.80314320	0.13623182	0.09507082	0.18362817	0.21615891	0.00000000	0.11120995	0.12179308	0.14803784	0.07297229	0.64795645	0.16798647	0.16376444	0.09399628	0.26338338	0.71991258	0.15420778	0.13470676	0.06832332	0.10440816	0.16654444	0.80660534
Mississippi	0.27275176	0.01894125	0.74170028	0.35586188	0.15595555	0.08507168	0.09571496	0.04238731	0.03131381	0.42073391	0.36644356	0.73799675	0.05844583	0.01795478	0.07255784	0.10541449	0.11120995	0.00000000	0.03623879	0.12406293	0.08207849	0.54252433	0.05742027	0.05651182	0.04225997	0.26749379	0.74690346	0.04481250	0.02473193	0.04696182	0.11266041	0.05611345	0.69928086
Missouri	0.23774465	0.02051558	0.70774367	0.38786005	0.13610956	0.06079258	0.09176549	0.07696731	0.05549827	0.40428290	0.34794856	0.70730657	0.02247275	0.04831177	0.07327830	0.10142936	0.12179308	0.03623879	0.00000000	0.09072001	0.06926461	0.54851343	0.06882667	0.04653163	0.02906366	0.30368473	0.71203057	0.06256749	0.03265535	0.05398249	0.08902208	0.05522180	0.68481260
Montana	0.14962798	0.10519566	0.64285655	0.47857949	0.08069454	0.05086181	0.15894093	0.16637390	0.14608666	0.41086871	0.27554608	0.65549298	0.07436209	0.12919508	0.14995179	0.16642192	0.14803784	0.12406293	0.09072001	0.00000000	0.07643738	0.60169951	0.15426411	0.12167180	0.08669500	0.38420811	0.62301100	0.15147060	0.12258413	0.10836179	0.04654648	0.13518112	0.68259580
New_Mexico	0.21829746	0.06691814	0.71879831	0.42914983	0.07468925	0.02725651	0.16098530	0.11969903	0.11284276	0.46285741	0.28437397	0.73171775	0.07418860	0.07634829	0.14219897	0.17059858	0.07297229	0.08207849	0.06926461	0.07643738	0.00000000	0.61773343	0.13451620	0.11576588	0.04243241	0.31466721	0.68224278	0.12468523	0.09631786	0.04279576	0.03932535	0.12400128	0.74222256
Nigeria	0.64038446	0.55308532	0.47476320	0.34602571	0.67749619	0.60514787	0.45706561	0.51930478	0.51176053	0.25076295	0.86412218	0.41578533	0.54777579	0.55583622	0.47562229	0.44762969	0.64795645	0.54252433	0.54851343	0.60169951	0.61773343	0.00000000	0.48562282	0.50213815	0.57590207	0.51254102	0.65482444	0.49771940	0.52307534	0.58948444	0.63011537	0.49384301	0.23876833
North_Carolina	0.29271163	0.06793437	0.72002967	0.32884171	0.20468454	0.12958047	0.04525197	0.05461360	0.02941512	0.37146882	0.41661009	0.70606950	0.08000667	0.07293400	0.02256722	0.05363719	0.16798647	0.05742027	0.06882667	0.15426411	0.13451620	0.48562282	0.00000000	0.03567911	0.09210009	0.27343452	0.76158170	0.01477383	0.03820074	0.10411722	0.15784552	0.02168499	0.64648329
Ohio	0.25717794	0.05623738	0.69405640	0.36434963	0.17988835	0.10463676	0.04523388	0.07680434	0.04628750	0.36464023	0.39060014	0.68526583	0.04929840	0.07445628	0.02880955	0.05491624	0.16376444	0.05651182	0.04653163	0.12167180	0.11576588	0.50213815	0.03567911	0.00000000	0.07499764	0.30470538	0.72624283	0.04043896	0.03203327	0.09567436	0.13191544	0.01421822	0.64403616
Oklahoma	0.23629443	0.02500150	0.72169216	0.39695729	0.11434862	0.04306391	0.12009367	0.08346983	0.07158615	0.43227368	0.32576387	0.72606301	0.04269700	0.04287556	0.10030386	0.12985302	0.09399628	0.04225997	0.02906366	0.08669500	0.04243241	0.57590207	0.09210009	0.07499764	0.00000000	0.29816776	0.70870893	0.08263756	0.05389940	0.02874602	0.07040404	0.08208239	0.71286919
Peru	0.53245066	0.28441152	0.96823610	0.17242486	0.37496645	0.33505801	0.31059292	0.23024648	0.25955604	0.57305520	0.52339961	0.91897740	0.32592836	0.25736851	0.29420692	0.31440989	0.26338338	0.26749379	0.30368473	0.38420811	0.31466721	0.51254102	0.27343452	0.30470538	0.29816776	0.00000000	0.96565036	0.26453732	0.28108686	0.27631360	0.35392409	0.29321068	0.75125264
Philippines	0.47429638	0.72813935	0.18144351	1.00000000	0.61358356	0.66713991	0.73646764	0.78891515	0.76490773	0.54822187	0.44574924	0.23960570	0.69183650	0.75158448	0.74550490	0.73617741	0.71991258	0.74690346	0.71203057	0.62301100	0.68224278	0.65482444	0.76158170	0.72624283	0.70870893	0.96565036	0.00000000	0.76544899	0.74106787	0.72427115	0.64360722	0.73992572	0.41684517
South_Carolina	0.29375157	0.05778330	0.73165204	0.32852347	0.19658478	0.12235370	0.05963258	0.04073233	0.01490568	0.38619412	0.40832292	0.71925470	0.07735723	0.05919004	0.03625695	0.06826187	0.15420778	0.04481250	0.06256749	0.15147060	0.12468523	0.49771940	0.01477383	0.04043896	0.08263756	0.26453732	0.76544899	0.00000000	0.03001523	0.09177320	0.15070046	0.02886634	0.66120057
Tennessee	0.26744282	0.03001346	0.72260028	0.35628760	0.16700620	0.09242774	0.07165727	0.05085385	0.02394241	0.39600319	0.37889521	0.71609337	0.04954680	0.04266195	0.04916196	0.08145261	0.13470676	0.02473193	0.03265535	0.12258413	0.09631786	0.52307534	0.03820074	0.03203327	0.05389940	0.28108686	0.74106787	0.03001523	0.00000000	0.06804279	0.12077869	0.03184914	0.67469953
Texas	0.25625578	0.03945865	0.74848241	0.38635475	0.11671003	0.05878335	0.13914717	0.07875778	0.07797307	0.45806851	0.32320843	0.75443117	0.07103598	0.03585297	0.11717675	0.14899679	0.06832332	0.04696182	0.05398249	0.10836179	0.04279576	0.58948444	0.10411722	0.09567436	0.02874602	0.27631360	0.72427115	0.09177320	0.06804279	0.00000000	0.08067229	0.09950571	0.73846358
Utah	0.17943520	0.09479220	0.68239491	0.46589280	0.04809846	0.02835105	0.17532245	0.15342740	0.14114110	0.45361693	0.25912366	0.69883254	0.08343153	0.11103698	0.16043347	0.18422091	0.10440816	0.11266041	0.08902208	0.04654648	0.03932535	0.63011537	0.15784552	0.13191544	0.07040404	0.35392409	0.64360722	0.15070046	0.12077869	0.08067229	0.00000000	0.14304627	0.72809832
West_Virginia	0.27138344	0.06048624	0.70308392	0.35014504	0.19073285	0.11525891	0.03981184	0.06814617	0.03813363	0.36518031	0.40212692	0.69203841	0.06182317	0.07375247	0.01822233	0.04962030	0.16654444	0.05611345	0.05522180	0.13518112	0.12400128	0.49384301	0.02168499	0.01421822	0.08208239	0.29321068	0.73992572	0.02886634	0.03184914	0.09950571	0.14304627	0.00000000	0.64319749
Yemen	0.61601577	0.69973711	0.23986021	0.58343760	0.75746504	0.71736500	0.60391303	0.69680221	0.67586427	0.28059589	0.78823258	0.18073048	0.67135452	0.71693258	0.62754566	0.59440685	0.80660534	0.69928086	0.68481260	0.68259580	0.74222256	0.23876833	0.64648329	0.64403616	0.71286919	0.75125264	0.41684517	0.66120057	0.67469953	0.73846358	0.72809832	0.64319749	0.00000000
