	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Louisiana	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517	-0.53448517
Maryland	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262	-0.31862262
Massachusetts	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746	-0.73726746
Mexico	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470	1.30289470
Mississippi	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726	-0.27406726
Missouri	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717	-0.28843717
Montana	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200	-1.42798200
New_Mexico	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175
Nigeria	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302	1.50135302
North_Carolina	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133	0.15732133
Ohio	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691	-0.29579691
Oklahoma	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363	-0.39494363
Peru	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858	0.80477858
Philippines	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244	1.39362244
South_Carolina	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596	-0.35096596
Tennessee	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771	-0.08585771
Texas	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237	0.41294237
Utah	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175	-1.21525175
West_Virginia	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361	-0.64823361
Yemen	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598	0.61962598
