	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Louisiana	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973	0.17724973
Maryland	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167	0.07386167
Massachusetts	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228	0.89244228
Mexico	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571	0.28761571
Mississippi	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440	0.97075440
Missouri	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284	0.38672284
Montana	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616	-0.31857616
New_Mexico	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867	-1.22449867
Nigeria	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803	-0.17433803
North_Carolina	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583	0.61753583
Ohio	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396	0.14216396
Oklahoma	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833	-0.57915833
Peru	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116	1.23938116
Philippines	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187	0.66877187
South_Carolina	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763	0.44137763
Tennessee	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713	0.98527713
Texas	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280	-1.42079280
Utah	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572	-1.02865572
West_Virginia	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440	1.69867440
Yemen	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184	-2.82760184
