	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Louisiana	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296	-0.36503296
Maryland	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904	-1.36824904
Massachusetts	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859	-1.48097859
Mexico	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752	1.50358752
Mississippi	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746	-0.41821746
Missouri	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703	-0.16042703
Montana	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324	0.35696324
New_Mexico	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217	0.22383217
Nigeria	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042	0.97444042
North_Carolina	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282	-0.34468282
