	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Louisiana	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130	-0.26025130
Maryland	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381	0.14245381
Massachusetts	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495	0.42924495
Mexico	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339	1.08395339
Mississippi	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610	-0.83958610
Missouri	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102	-0.00352102
Montana	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121	-1.42128121
New_Mexico	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452	-0.93101452
Nigeria	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304	-0.37411304
North_Carolina	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887	0.48870887
