	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Louisiana	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Maryland	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Massachusetts	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Mexico	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Mississippi	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Missouri	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Montana	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
New_Mexico	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Nigeria	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
North_Carolina	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Ohio	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Oklahoma	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Peru	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Philippines	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
South_Carolina	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Tennessee	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Texas	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Utah	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
West_Virginia	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
Yemen	-1.48582322	-0.69499265	-0.01134721	1.23866572	1.74802504	0.15820472	-0.17054434	1.05273302	0.51891377	1.90191095	-1.08563655	1.74706350	-0.45443916	-0.26025130	0.14245381	0.42924495	1.08395339	-0.83958610	-0.00352102	-1.42128121	-0.93101452	-0.37411304	0.48870887	0.56724756	-0.42494727	-0.28595029	0.06248890	-0.20640532	0.15271663	1.41942975	-0.32453193	-1.14162466	-2.59575080
