	Alaska	Arkansas	Bangladesh	Brazil	California	Colorado	Connecticut	Florida	Georgia	Germany	Hawaii	India	Iowa	Louisiana	Maryland	Massachusetts	Mexico	Mississippi	Missouri	Montana	New_Mexico	Nigeria	North_Carolina	Ohio	Oklahoma	Peru	Philippines	South_Carolina	Tennessee	Texas	Utah	West_Virginia	Yemen
Maryland	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489	0.02679489
Massachusetts	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961	-2.80843961
Mexico	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788	1.07588788
Mississippi	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374	-0.52809374
Missouri	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695	0.42818695
Montana	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232	0.66094232
New_Mexico	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675	-0.62560675
Nigeria	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124	1.10075124
North_Carolina	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552	-0.67745552
Ohio	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455	-0.27513455
Oklahoma	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017	0.26856017
Peru	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644	0.97102644
Philippines	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704	0.90058704
South_Carolina	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485	-0.57587485
Tennessee	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613	-0.48211613
Texas	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393	-0.13164393
Utah	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177	-1.47004177
West_Virginia	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660	-0.23764660
Yemen	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062	0.95726062
