	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404
california	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046	1.05771046
missouri	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670	0.61597670
cambodia	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628	1.13733628
sweden	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012	-0.92156012
australia	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948	0.32211948
greece	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409	0.00456409
belgium	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269	-0.52722269
burkina_faso	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634	1.34303634
united_kingdom	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584	-0.58978584
