	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172	-1.69641172
california	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007	-1.12352007
missouri	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917	0.59580917
cambodia	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249	1.86757249
sweden	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432	0.51404432
australia	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010	-0.33745010
greece	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550	0.14173550
belgium	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230	1.04714230
burkina_faso	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118	0.14447118
united_kingdom	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919	1.07940919
