	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948
california	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390
missouri	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030
cambodia	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265
sweden	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888
australia	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043
greece	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368
belgium	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705
burkina_faso	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308
united_kingdom	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716
