	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456	-1.38053456
california	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463	1.67820463
missouri	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478	-0.01820478
cambodia	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797	-1.84305797
sweden	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519	0.17565519
australia	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698	1.00836698
greece	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009	-0.49812009
belgium	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044	0.25051044
burkina_faso	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952	-2.40716952
united_kingdom	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546	1.52433546
