	australia	sweden	california	missouri	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	heilongjiang	jiangxi	zhejiang	sichuan	shanghai
ningxia	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
shaanxi	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
shanxi	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
anhui	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
guizhou	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
heilongjiang	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
jiangxi	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
zhejiang	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
sichuan	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
shanghai	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
