	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
california	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
missouri	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
cambodia	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
sweden	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
australia	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
greece	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
belgium	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
burkina_faso	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
united_kingdom	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
