	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
shanghai	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463	-2.76083463
ningxia	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067	-0.85127067
california	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714	0.65192714
missouri	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191	-0.03581191
cambodia	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924	-0.03803924
sweden	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592	0.70077592
australia	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431	3.00147431
greece	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718	-0.29442718
belgium	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367	-1.47704367
burkina_faso	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031	0.29858031
united_kingdom	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136	0.19895136
