	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
ningxia	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518
california	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187
missouri	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556	0.76143556
cambodia	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629	0.80340629
sweden	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200	0.79634200
australia	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328	-0.03880328
greece	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673	0.50415673
belgium	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270	-0.05756270
burkina_faso	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930	-0.24671930
united_kingdom	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268	0.36126268
