	australia	sweden	california	missouri	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	zhejiang	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	shanghai	sichuan
guangdong	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
heilongjiang	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
henan	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
hunan	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
ningxia	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
shaanxi	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
shanxi	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
anhui	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
guizhou	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
jiangxi	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
shanghai	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
sichuan	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
