	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562
california	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896
missouri	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370
cambodia	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796
sweden	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595
australia	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700
tunisia	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760
greece	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836
belgium	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535
burkina_faso	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811
united_kingdom	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820
