	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200	0.44796200
ningxia	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219	-1.43411219
california	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868	-0.91923868
missouri	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988	0.62596988
cambodia	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862	1.76893862
sweden	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557	0.55248557
australia	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593	-0.21277593
tunisia	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370	-2.44349370
greece	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137	0.21788137
belgium	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541	1.03159541
burkina_faso	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000	0.22034000
united_kingdom	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455	1.06059455
