	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978	-1.68822978
california	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439	0.40763439
missouri	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698	-1.57030698
cambodia	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146	-0.45611146
sweden	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416	-1.00404416
australia	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207	-0.00820207
tunisia	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383	-0.86535383
greece	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782	-1.01730782
belgium	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075	-0.91552075
burkina_faso	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661	-0.17119661
united_kingdom	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228	1.00009228
