	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145	-1.94219145
ningxia	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117	-2.29272117
california	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757	0.67615757
missouri	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957	0.79815957
cambodia	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870	0.83914870
sweden	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963	0.83224963
australia	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654	0.01663654
tunisia	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212	-1.47237212
greece	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793	0.54689793
belgium	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414	-0.00168414
burkina_faso	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679	-0.18641679
united_kingdom	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585	0.40734585
