	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579	-2.80640579
ningxia	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169	-0.86230169
california	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592	0.66808592
missouri	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293	-0.03209293
cambodia	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055	-0.03436055
sweden	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828	0.71781828
australia	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164	3.06013164
tunisia	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213	-0.11790213
greece	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602	-0.29538602
belgium	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365	-1.49939365
burkina_faso	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777	0.30834777
united_kingdom	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673	0.20691673
