	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
ningxia	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
california	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
missouri	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
cambodia	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
sweden	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
australia	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
tunisia	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
greece	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
belgium	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
burkina_faso	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
united_kingdom	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
