	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943
california	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212
missouri	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769
cambodia	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422
sweden	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630	-0.36897630
australia	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540	-0.61647540
tunisia	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729	-0.83436729
greece	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800	-1.27336800
belgium	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407	0.07377407
burkina_faso	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437	-1.36989437
united_kingdom	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246	0.00992246
