	australia	sweden	california	missouri	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	zhejiang	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	shanghai	sichuan
guangdong	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636
heilongjiang	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148
henan	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266
hunan	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148
ningxia	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
shaanxi	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148
shanxi	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222	0.40873222
anhui	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
guizhou	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266
jiangxi	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
shanghai	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148	0.08656148
sichuan	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
