sequence	region
PQ710113|2024-12|USA|Alabama|2.3.4.4b	Alabama
PQ703761|2024-12|USA|Alabama|2.3.4.4b	Alabama
PQ710129|2024-12|USA|Alabama|2.3.4.4b	Alabama
PQ703737|2024-12|USA|Alabama|2.3.4.4b	Alabama
PQ707105|2024-12|USA|Arizona|2.3.4.4b	Arizona
PQ707081|2024-12|USA|Arizona|2.3.4.4b	Arizona
PQ714977|2024-12|USA|Arizona|2.3.4.4b	Arizona
OR125201|2023-06|Chile|nan|2.3.4.4b	Chile
OR910282|2023-12|Chile|nan|2.3.4.4b	Chile
PP785576|2024-05|Chile|nan|2.3.4.4b	Chile
OR910474|2023-12|Chile|nan|2.3.4.4b	Chile
PQ278123|2024-12|China|nan|2.3.4.4b	China
PP031948|2023-12|China|nan|2.3.4.4b	China
PP031952|2023-12|China|nan|2.3.4.4b	China
OQ683466|2023-03|Colombia|nan|2.3.4.4b	Colombia
OQ683490|2023-03|Colombia|nan|2.3.4.4b	Colombia
OQ683458|2023-03|Colombia|nan|2.3.4.4b	Colombia
OQ683498|2023-03|Colombia|nan|2.3.4.4b	Colombia
OQ967196|2023-08|USA|Delaware|2.3.4.4b	Delaware
PV161911|2025-02|USA|Delaware|2.3.4.4b	Delaware
PV161935|2025-02|USA|Delaware|2.3.4.4b	Delaware
OR783436|2024-01|Egypt|nan|2.3.4.4b	Egypt
OP590517|2023-04|Egypt|nan|2.3.4.4b	Egypt
OR783406|2024-01|Egypt|nan|2.3.4.4b	Egypt
OQ632895|2023-04|France|nan|2.3.4.4b	France
PP191107|2024-01|France|nan|2.3.4.4b	France
PP191105|2024-01|France|nan|2.3.4.4b	France
PQ707801|2024-12|USA|Idaho|2.3.4.4b	Idaho
PQ701985|2024-12|USA|Idaho|2.3.4.4b	Idaho
PV214143|2025-03|USA|Idaho|2.3.4.4b	Idaho
PQ011083|2024-07|USA|Idaho|2.3.4.4b	Idaho
PV213855|2025-03|USA|Illinois|2.3.4.4b	Illinois
PQ702009|2024-12|USA|Illinois|2.3.4.4b	Illinois
PP752415|2024-05|USA|Illinois|2.3.4.4b	Illinois
PV159879|2025-02|USA|Indiana|2.3.4.4b	Indiana
PP755645|2024-05|USA|Indiana|2.3.4.4b	Indiana
OQ962876|2023-08|USA|Indiana|2.3.4.4b	Indiana
LC770985|2023-06|Japan|nan|2.3.4.4b	Japan
LC730547|2022-09|Japan|nan|2.3.4.4b	Japan
LC718314|2023-01|Japan|nan|2.3.4.4b	Japan
LC718242|2023-01|Japan|nan|2.3.4.4b	Japan
PV162047|2025-02|USA|Kansas|2.3.4.4b	Kansas
PV267496|2025-03|USA|Kansas|2.3.4.4b	Kansas
PP576859|2024-04|USA|Kansas|2.3.4.4b	Kansas
PQ717065|2024-12|USA|Kansas|2.3.4.4b	Kansas
PP267965|2024-02|Kazakhstan|nan|2.3.4.4b	Kazakhstan
PP346196|2024-02|Kazakhstan|nan|2.3.4.4b	Kazakhstan
PP989362|2024-07|Kazakhstan|nan|2.3.4.4b	Kazakhstan
PQ707945|2024-12|USA|Kentucky|2.3.4.4b	Kentucky
PQ709857|2024-12|USA|Kentucky|2.3.4.4b	Kentucky
PV267688|2025-03|USA|Kentucky|2.3.4.4b	Kentucky
PQ710713|2024-12|USA|Maine|2.3.4.4b	Maine
PQ713345|2024-12|USA|Maine|2.3.4.4b	Maine
PQ713313|2024-12|USA|Maine|2.3.4.4b	Maine
PV214239|2025-03|USA|Michigan|2.3.4.4b	Michigan
OQ966980|2023-08|USA|Michigan|2.3.4.4b	Michigan
PV214255|2025-03|USA|Michigan|2.3.4.4b	Michigan
PQ719617|2024-12|USA|Michigan|2.3.4.4b	Michigan
OQ961540|2023-08|USA|Minnesota|2.3.4.4b	Minnesota
PQ711569|2024-12|USA|Minnesota|2.3.4.4b	Minnesota
OQ961508|2023-08|USA|Minnesota|2.3.4.4b	Minnesota
PQ702049|2024-12|USA|Minnesota|2.3.4.4b	Minnesota
PQ713705|2024-12|USA|Nevada|2.3.4.4b	Nevada
PQ714777|2024-12|USA|Nevada|2.3.4.4b	Nevada
PQ719497|2024-12|USA|Nevada|2.3.4.4b	Nevada
PQ713681|2024-12|USA|Nevada|2.3.4.4b	Nevada
PQ718665|2024-12|USA|New_Jersey|2.3.4.4b	New_Jersey
PQ700569|2024-12|USA|New_Jersey|2.3.4.4b	New_Jersey
PQ700593|2024-12|USA|New_Jersey|2.3.4.4b	New_Jersey
PQ700745|2024-12|USA|New_Jersey|2.3.4.4b	New_Jersey
PQ719185|2024-12|USA|New_York|2.3.4.4b	New_York
PQ716489|2024-12|USA|New_York|2.3.4.4b	New_York
PQ713777|2024-12|USA|New_York|2.3.4.4b	New_York
PQ701153|2024-12|USA|New_York|2.3.4.4b	New_York
OQ957732|2023-08|USA|North_Dakota|2.3.4.4b	North_Dakota
OQ964372|2023-08|USA|North_Dakota|2.3.4.4b	North_Dakota
OQ964812|2023-08|USA|North_Dakota|2.3.4.4b	North_Dakota
OQ964596|2023-08|USA|North_Dakota|2.3.4.4b	North_Dakota
PQ717209|2024-12|USA|Oregon|2.3.4.4b	Oregon
PQ708569|2024-12|USA|Oregon|2.3.4.4b	Oregon
PQ708617|2024-12|USA|Oregon|2.3.4.4b	Oregon
PQ702385|2024-12|USA|Oregon|2.3.4.4b	Oregon
