	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
california	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
cambodia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
sweden	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
australia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
tunisia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
greece	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
belgium	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
burkina_faso	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
united_kingdom	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
