	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557	-2.75705557
ningxia	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683	-0.84794683
california	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264	0.65489264
cambodia	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927	-0.03490927
sweden	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977	0.70372977
australia	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970	3.00387970
tunisia	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703	-0.11694703
greece	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608	-0.29123608
belgium	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065	-1.47357065
burkina_faso	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004	0.30163004
united_kingdom	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484	0.20202484
