	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024	-2.24907024
california	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553	0.70132553
cambodia	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194	0.86330194
sweden	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583	0.85644583
australia	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040	0.04591040
tunisia	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833	-1.43382833
greece	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060	0.57287060
belgium	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378	0.02770378
burkina_faso	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881	-0.15587881
united_kingdom	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732	0.43418732
