	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843	-0.25838843
california	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372	-1.10688372
cambodia	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095	-3.10041095
sweden	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027	-0.42392027
australia	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983	-0.67512983
tunisia	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831	-0.89628831
greece	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043	-1.34187043
belgium	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773	0.02546773
burkina_faso	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391	-1.43984391
united_kingdom	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113	-0.03934113
