	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826	-1.39566826
california	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335	-0.88636335
cambodia	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003	1.77274003
sweden	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349	0.56944349
australia	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134	-0.18754134
tunisia	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283	-2.39413283
greece	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820	0.23845820
belgium	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154	1.04337154
burkina_faso	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024	0.24089024
united_kingdom	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704	1.07205704
