	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267
california	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180
cambodia	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346	-0.53918346
sweden	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308	0.46221308
australia	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959
tunisia	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439
greece	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992	0.30045992
belgium	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550	-0.10712550
burkina_faso	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716	-1.56555716
united_kingdom	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030	-0.37743030
