	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
shanghai	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
ningxia	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
california	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
cambodia	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
sweden	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
australia	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
tunisia	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
greece	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
belgium	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
burkina_faso	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
united_kingdom	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
