	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
california	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
cambodia	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
sweden	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
australia	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
tunisia	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
greece	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
belgium	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
burkina_faso	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
united_kingdom	-0.23475390	0.73251787	0.21068927	0.00832842	0.79161981	-0.72591379	0.53565068	0.60488948	0.90181841	1.09604937	-1.21707368	0.95337297	1.05033265	0.67038378	-0.94676888	-2.05671705	-2.89636043	1.00282267	0.84797180	-0.53918346	0.46221308	0.11372959	0.38403439	0.30045992	-0.10712550	-1.56555716	-0.37743030
