	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554	-1.25111554
california	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026	1.65497026
cambodia	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565	-1.69055565
sweden	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899	0.22740899
australia	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239	1.01856239
tunisia	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348	-1.59082348
greece	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999	-0.41273999
belgium	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842	0.29852842
burkina_faso	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392	-2.22651392
united_kingdom	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027	1.50878027
