	australia	sweden	california	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	zhejiang	sichuan	shanghai
hunan	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
ningxia	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
shaanxi	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713
shanxi	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152	0.33302152
anhui	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
guizhou	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
jiangxi	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
zhejiang	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
sichuan	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
shanghai	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713
