	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
ningxia	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837	-1.79903837
california	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063	0.36001063
cambodia	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490	-0.52977490
sweden	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634	-1.09422634
australia	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221	-0.06836221
tunisia	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486	-0.95135486
greece	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987	-1.10788987
belgium	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418	-1.00303418
burkina_faso	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061	-0.23627061
united_kingdom	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957	0.97032957
