	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Illinois	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205	-0.07565205
Indiana	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603	-0.33522603
Israel	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670	-1.18189670
Louisiana	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547	-0.13301547
Massachusetts	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793	-1.02819793
Mexico	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312	1.36594312
Mississippi	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869	-0.17567869
Nebraska	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373	0.08677373
Nevada	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173	0.28619173
New_Mexico	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677	0.33935677
