	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Indiana	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925	-0.25037925
Israel	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158	0.94427158
Louisiana	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379	0.94344379
Massachusetts	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577	-0.34004577
Mexico	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946	0.88883946
Mississippi	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975	0.66648975
Nebraska	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232	-0.34497232
Nevada	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517	-0.56635517
New_Mexico	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160	-0.08152160
New_York	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461	-0.06303461
North_Dakota	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097	-1.28839097
Ohio	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814	-0.36148814
South_Dakota	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486	-0.54794486
Spain	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797	0.35853797
Texas	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849	0.73895849
Utah	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096	-0.65151096
Virginia	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283	0.24674283
Wisconsin	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058	-0.93969058
Wyoming	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144	-0.86231144
