	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Illinois	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785	-0.15689785
Indiana	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959	0.11740959
Israel	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494
Louisiana	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505	-0.05193505
Massachusetts	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494	-0.23905494
Mexico	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013	1.64353013
Mississippi	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882	0.18836882
Nebraska	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626	-0.51077626
Nevada	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040	-0.87642040
New_Mexico	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090	-0.68012090
