	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Mississippi	0.63881333	0.15915707	0.58656872	0.51781035	0.23020636	0.22692905	0.25816336	0.12378678	0.13927369	0.10346826	0.06167727	0.04556436	0.19586885	0.06373066	0.06647927	0.84053536	0.02612579	0.15338736	0.16182027	0.00000000	0.10332722	0.19668914	0.11943143	0.13009512	0.14570596	0.08222968	0.12374506	0.57830081	0.06833358	0.16393082	0.08967763	0.10294194	0.15065719
Nebraska	0.73651377	0.10208309	0.57796159	0.61960298	0.32675764	0.15043655	0.36048813	0.04373070	0.17466112	0.15190534	0.16484218	0.13647444	0.09715347	0.07067996	0.08972722	0.82943486	0.11255169	0.18762628	0.17546403	0.10332722	0.00000000	0.11240840	0.07480075	0.15524354	0.05128620	0.11207822	0.02523220	0.59435163	0.09253656	0.08045060	0.14660431	0.06951002	0.05120785
Nevada	0.78111836	0.05565488	0.66093242	0.70855676	0.42687600	0.03996343	0.43277328	0.07457438	0.28677766	0.26405854	0.25533202	0.23856222	0.04533493	0.18232547	0.20158082	0.90265339	0.19305805	0.29946290	0.16422217	0.19668914	0.11240840	0.00000000	0.08444826	0.26691830	0.12312448	0.22439504	0.11432223	0.69223521	0.14654812	0.03332112	0.25789079	0.17871489	0.06709127
New_Mexico	0.70434863	0.03975518	0.65250323	0.62445078	0.34718815	0.10867943	0.34850452	0.03966062	0.23424778	0.20473912	0.17417262	0.16419615	0.10316733	0.12612450	0.14431871	0.90423427	0.11109348	0.24823596	0.10618111	0.11943143	0.07480075	0.08444826	0.00000000	0.21746325	0.11821864	0.16844954	0.09481886	0.66548117	0.06227160	0.05722184	0.19510758	0.14033376	0.07461416
New_York	0.69988549	0.25299107	0.45647557	0.51991518	0.22494632	0.30557069	0.31762132	0.19771670	0.02150019	0.03576091	0.14534307	0.10341462	0.24282507	0.09139008	0.07405930	0.71048414	0.15604973	0.03260156	0.28873953	0.13009512	0.15524354	0.26691830	0.21746325	0.00000000	0.15613128	0.05073725	0.15434333	0.45231160	0.18985835	0.23563099	0.05015379	0.08912423	0.20136179
North_Dakota	0.78382169	0.13482799	0.54315148	0.65239669	0.35531596	0.16301033	0.40358177	0.07962315	0.17745785	0.16453613	0.20500803	0.16995103	0.08933291	0.09482152	0.10981567	0.79105243	0.15952027	0.18813963	0.22317885	0.14570596	0.05128620	0.12312448	0.11821864	0.15613128	0.00000000	0.12592953	0.02607417	0.56940395	0.14381894	0.09929154	0.16402351	0.06931693	0.05779199
Ohio	0.68799730	0.20520646	0.50546075	0.53016077	0.23197889	0.26175338	0.30209529	0.15225570	0.06581927	0.04003007	0.11175708	0.06735238	0.20586137	0.04296462	0.02413621	0.75977085	0.10834045	0.07990797	0.23829168	0.08222968	0.11207822	0.22439504	0.16844954	0.05073725	0.12592953	0.00000000	0.11703951	0.50304789	0.13921461	0.19194857	0.03820426	0.05737106	0.16159858
South_Dakota	0.76005369	0.11600939	0.56120201	0.63616844	0.34084235	0.15400317	0.38187033	0.05810884	0.17496166	0.15691537	0.18438376	0.15228168	0.08913009	0.08004965	0.09746897	0.81105425	0.13555552	0.18692459	0.19845795	0.12374506	0.02523220	0.11432223	0.09481886	0.15434333	0.02607417	0.11703951	0.00000000	0.58249879	0.11776699	0.08585626	0.15402287	0.06525462	0.04745199
Spain	0.82143278	0.69642821	0.10987808	0.55869923	0.48124978	0.73182185	0.61766669	0.63781268	0.43966117	0.47487328	0.56739503	0.54004454	0.65327714	0.54210920	0.52606742	0.28101378	0.60278828	0.42537185	0.73987243	0.57830081	0.59435163	0.69223521	0.66548117	0.45231160	0.56940395	0.50304789	0.58249879	0.00000000	0.64190748	0.66778443	0.48871582	0.52563829	0.62686290
Texas	0.65082774	0.09918890	0.64261911	0.56218017	0.28758048	0.16982337	0.28727565	0.08553496	0.20247138	0.16831989	0.11459950	0.11345768	0.15964172	0.10398945	0.11720101	0.89698914	0.05216922	0.21680344	0.09941645	0.06833358	0.09253656	0.14654812	0.06227160	0.18985835	0.14381894	0.13921461	0.11776699	0.64190748	0.00000000	0.11738528	0.15575329	0.13390532	0.12136244
Utah	0.76089324	0.04338255	0.64200298	0.67791503	0.39412400	0.06998749	0.40464612	0.04125327	0.25510959	0.23141465	0.22325038	0.20537272	0.04775768	0.14957795	0.16886240	0.88794908	0.16156858	0.26805764	0.15192307	0.16393082	0.08045060	0.03332112	0.05722184	0.23563099	0.09929154	0.19194857	0.08585626	0.66778443	0.11738528	0.00000000	0.22490674	0.14843664	0.04156420
Virginia	0.65721190	0.23358557	0.50078158	0.49253301	0.19435604	0.29401703	0.27237945	0.18421612	0.05169323	0.01533043	0.09535982	0.05493889	0.24220235	0.07592439	0.05703760	0.75365341	0.11416465	0.06507339	0.25149142	0.08967763	0.14660431	0.25789079	0.19510758	0.05015379	0.16402351	0.03820426	0.15402287	0.48871582	0.15575329	0.22490674	0.00000000	0.09556163	0.19719174
Wisconsin	0.73567424	0.17121166	0.51385036	0.58703438	0.28897706	0.21793345	0.35048804	0.11322513	0.10991027	0.09525781	0.15287657	0.11176902	0.15380130	0.03941073	0.04610570	0.76719757	0.12496284	0.12168655	0.23036202	0.10294194	0.06951002	0.17871489	0.14033376	0.08912423	0.06931693	0.05737106	0.06525462	0.52563829	0.13390532	0.14843664	0.09556163	0.00000000	0.11247849
Wyoming	0.77218336	0.08004349	0.60048826	0.66843288	0.37734309	0.10696341	0.40368073	0.03690525	0.22172142	0.20162289	0.21223435	0.18686052	0.04607267	0.12140917	0.14015921	0.84705174	0.15508722	0.23396331	0.17989430	0.15065719	0.05120785	0.06709127	0.07461416	0.20136179	0.05779199	0.16159858	0.04745199	0.62686290	0.12136244	0.04156420	0.19719174	0.11247849	0.00000000
