	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Indiana	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196
Israel	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201
Louisiana	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620	0.41538620
Massachusetts	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742	0.68974742
Mexico	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466	0.45772466
Mississippi	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942	0.71978942
Nebraska	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921	-1.39575921
Nevada	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367	-0.58105367
New_Mexico	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066	-0.12235066
New_York	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130	0.79192130
North_Dakota	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974	-1.79484974
Ohio	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665	0.40192665
South_Dakota	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024	-1.11238024
Spain	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186	0.11281186
Texas	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275	-0.19765275
Utah	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165	-0.04722165
Virginia	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291	0.79924291
Wisconsin	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288	0.69116288
Wyoming	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619	-0.08847619
