	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Indiana	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166	0.62105166
Israel	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678	0.41380678
Louisiana	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057	0.69527057
Massachusetts	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799	-2.91498799
Mexico	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311	1.21866311
Mississippi	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962	-0.46049962
Nebraska	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684	0.05093684
Nevada	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513	-1.52924513
New_Mexico	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627	-0.55397627
New_York	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947	-0.21559947
North_Dakota	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766	0.21936766
Ohio	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228	-0.14350228
South_Dakota	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948	0.45806948
Spain	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477	0.16568477
Texas	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500	-0.01060500
Utah	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519	-1.16637519
Virginia	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159	-2.04068159
Wisconsin	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760	0.58223760
Wyoming	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140	-0.88491140
