	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Indiana	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Israel	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Louisiana	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
Massachusetts	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Mexico	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161	0.64714161
Mississippi	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Nebraska	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713
Nevada	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713
New_Mexico	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025	0.40888025
New_York	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799	2.07258799
North_Dakota	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
Ohio	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
South_Dakota	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
Spain	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Texas	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707	2.27658707
Utah	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Virginia	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713
Wisconsin	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Wyoming	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
