	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Illinois	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282	0.82083282
Indiana	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145	0.73683145
Israel	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916	-0.70454916
Louisiana	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544	-0.26599544
Massachusetts	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918	0.71468918
Mexico	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026	-1.31519026
Mississippi	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993	-0.00624993
Nebraska	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264	0.84078264
Nevada	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751	0.75849751
New_Mexico	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678	0.27205678
New_York	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683	0.62090683
North_Dakota	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590	0.89836590
Ohio	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889	0.66888889
South_Dakota	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483	0.87953483
Spain	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458	-0.46159458
Texas	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583	0.16204583
Utah	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740	0.77970740
Virginia	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967	0.51748967
Wisconsin	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386	0.93500386
Wyoming	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143	0.91685143
