	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Illinois	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615
Indiana	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090
Israel	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409
Louisiana	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857	0.97651857
Massachusetts	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191	-0.77247191
Mexico	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867	1.77463867
Mississippi	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009	0.69679009
Nebraska	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001	-0.50652001
Nevada	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158	-1.49659158
New_Mexico	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429	-1.14039429
