	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kentucky	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093	-0.23604093
Maine	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461	-1.26005461
Michigan	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965	-0.48950965
Minnesota	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640	0.62686640
Nevada	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882	-0.92759882
New_Jersey	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951	-1.57367951
New_York	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817	0.12697817
North_Dakota	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248	0.43197248
Oregon	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876	-2.04981876
Pennsylvania	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910	0.21307910
Serbia	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293	0.96283293
South_Dakota	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208	0.59101208
Uruguay	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432	0.49483432
Vermont	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391	-0.61397391
Vietnam	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165	1.09948165
Virginia	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034	-1.13559034
Washington	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373	0.92529373
Wisconsin	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748	0.67818748
Wyoming	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159	-0.43300159
