	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Japan	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Kansas	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Kazakhstan	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Kentucky	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Maine	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512	-1.09544512
Michigan	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Minnesota	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
Nevada	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
New_Jersey	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
New_York	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093	0.91287093
