	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kentucky	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978	0.56227978
Maine	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447	0.74676447
Michigan	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844	0.34652844
Minnesota	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751	0.32533751
Nevada	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508	-0.47744508
New_Jersey	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285	0.34629285
New_York	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449	0.59471449
North_Dakota	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837	-1.46034837
Oregon	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202	0.47464202
Pennsylvania	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054	0.63082054
Serbia	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114	0.34495114
South_Dakota	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074	-0.90770074
Uruguay	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426	-0.41699426
Vermont	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223	0.75824223
Vietnam	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894	0.56555894
Virginia	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637	0.64028637
Washington	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166	0.47566166
Wisconsin	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573	0.55276573
Wyoming	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752	-0.07856752
