	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kazakhstan	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678	-0.20515678
Kentucky	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959	-0.21768959
Maine	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752	-1.05402752
Michigan	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397	0.51962397
Minnesota	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767	0.19133767
Nevada	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753	-0.30896753
New_Jersey	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683	0.59567683
New_York	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712	1.36116712
North_Dakota	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775	-1.26667775
Oregon	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418	-0.12399418
