	Alabama	Arizona	Chile	China	Colombia	Delaware	Egypt	France	Idaho	Illinois	Indiana	Japan	Kansas	Kazakhstan	Kentucky	Maine	Michigan	Minnesota	Nevada	New_Jersey	New_York	North_Dakota	Oregon	Pennsylvania	Serbia	South_Dakota	Uruguay	Vermont	Vietnam	Virginia	Washington	Wisconsin	Wyoming
Kazakhstan	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448	0.75994448
Kentucky	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912	0.20784912
Maine	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216	0.61468216
Michigan	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312	0.58643312
Minnesota	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252	0.73471252
Nevada	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306	0.52802306
New_Jersey	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888	0.22681888
New_York	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220	0.36936220
North_Dakota	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089	0.70898089
Oregon	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641	-0.16596641
