	Germany	Greece	Spain	Sweden	California	North_Carolina	Georgia	United_Kingdom
Germany	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
Greece	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
Spain	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
Sweden	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
California	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
North_Carolina	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
Georgia	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
United_Kingdom	0.41452930	1.84837070	-0.99900475	-0.42426462	0.15047551	-1.57374489	-0.23923962	0.82287837
